year,seq,name,datetime,lat,lon,pressure
2014,12,MARCIA,2015-02-16 00:00:00+00,-15.5,152.2,9999
2014,12,MARCIA,2015-02-16 06:00:00+00,-15.7,153.5,9999
2014,12,MARCIA,2015-02-16 12:00:00+00,-14.7,154.7,9999
2014,12,MARCIA,2015-02-16 18:00:00+00,-14.5,154.9,999
2014,12,MARCIA,2015-02-17 00:00:00+00,-14.3,155.5,998
2014,12,MARCIA,2015-02-17 06:00:00+00,-14.8,155.7,998
2014,12,MARCIA,2015-02-17 12:00:00+00,-14.9,155.5,997
2014,12,MARCIA,2015-02-17 18:00:00+00,-15.6,156.2,997
2014,12,MARCIA,2015-02-18 00:00:00+00,-16.2,156.1,998
2014,12,MARCIA,2015-02-18 06:00:00+00,-17.1,155.3,996
2014,12,MARCIA,2015-02-18 12:00:00+00,-18.1,154.6,996
2014,12,MARCIA,2015-02-18 18:00:00+00,-19.1,153.1,995
2014,12,MARCIA,2015-02-19 00:00:00+00,-19.9,152.1,991
2014,12,MARCIA,2015-02-19 06:00:00+00,-20.57,150.85,958
2014,12,MARCIA,2015-02-19 12:00:00+00,-20.85,150.55,940
2014,12,MARCIA,2015-02-19 18:00:00+00,-21.6,150.5,929
2014,12,MARCIA,2015-02-20 00:00:00+00,-22.75,150.49,931
2014,12,MARCIA,2015-02-20 06:00:00+00,-23.8,150.7,975
2014,12,MARCIA,2015-02-20 12:00:00+00,-24.55,151.06,994
2014,12,MARCIA,2015-02-20 17:00:00+00,-25.3,151.6,997
2014,12,MARCIA,2015-02-21 02:00:00+00,-26.1,153,1002

